"P_Gamble","A_Gamble","A_Certain","Gamble","PID","condition","alpha","beta","mu","EV","Female","Age"
0.2,2.5,0.5,0,1,1,0.725615437534491,0.384643276251559,5.15191171975752,0,1,19
0.3,1.67,0.5,0,1,1,0.725615437534491,0.384643276251559,5.15191171975752,0,1,19
0.4,1.25,0.5,0,1,1,0.725615437534491,0.384643276251559,5.15191171975752,0,1,19
0.5,1,0.5,1,1,1,0.725615437534491,0.384643276251559,5.15191171975752,0,1,19
0.6,0.83,0.5,0,1,1,0.725615437534491,0.384643276251559,5.15191171975752,0,1,19
0.7,0.71,0.5,0,1,1,0.725615437534491,0.384643276251559,5.15191171975752,0,1,19
0.8,0.63,0.5,0,1,1,0.725615437534491,0.384643276251559,5.15191171975752,0,1,19
0.9,0.56,0.5,0,1,1,0.725615437534491,0.384643276251559,5.15191171975752,0,1,19
0.2,2.5,0.5,0,1,1,0.725615437534491,0.384643276251559,5.15191171975752,0,1,19
0.3,1.67,0.5,0,1,1,0.725615437534491,0.384643276251559,5.15191171975752,0,1,19
0.4,1.25,0.5,0,1,1,0.725615437534491,0.384643276251559,5.15191171975752,0,1,19
0.5,1,0.5,0,1,1,0.725615437534491,0.384643276251559,5.15191171975752,0,1,19
0.6,0.83,0.5,0,1,1,0.725615437534491,0.384643276251559,5.15191171975752,0,1,19
0.7,0.71,0.5,0,1,1,0.725615437534491,0.384643276251559,5.15191171975752,0,1,19
0.8,0.63,0.5,1,1,1,0.725615437534491,0.384643276251559,5.15191171975752,0,1,19
0.9,0.56,0.5,0,1,1,0.725615437534491,0.384643276251559,5.15191171975752,0,1,19
0.2,2.5,0.5,0,1,1,0.725615437534491,0.384643276251559,5.15191171975752,0,1,19
0.3,1.67,0.5,0,1,1,0.725615437534491,0.384643276251559,5.15191171975752,0,1,19
0.4,1.25,0.5,0,1,1,0.725615437534491,0.384643276251559,5.15191171975752,0,1,19
0.5,1,0.5,0,1,1,0.725615437534491,0.384643276251559,5.15191171975752,0,1,19
0.6,0.83,0.5,0,1,1,0.725615437534491,0.384643276251559,5.15191171975752,0,1,19
0.7,0.71,0.5,0,1,1,0.725615437534491,0.384643276251559,5.15191171975752,0,1,19
0.8,0.63,0.5,0,1,1,0.725615437534491,0.384643276251559,5.15191171975752,0,1,19
